City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
526,Chililabombwe,-12.3648,27.8229,61.84,94,68,2.42,broken clouds,ZM,2022-02-12 19:42:14
527,Bani,18.2833,-70.3333,80.74,65,30,18.25,scattered clouds,DO,2022-02-12 19:42:15
528,Bjorkelangen,59.8848,11.5694,40.46,96,100,16.08,light rain,NO,2022-02-12 19:42:15
529,Rapina,58.0981,27.4636,35.89,79,100,17.76,overcast clouds,EE,2022-02-12 19:42:16
530,Balkanabat,39.5108,54.3671,45.23,54,0,3.44,clear sky,TM,2022-02-12 19:42:16
531,Moose Factory,51.2585,-80.6094,-5.8,54,0,11.5,clear sky,CA,2022-02-12 19:42:16
532,Kribi,2.95,9.9167,80.49,81,21,9.48,few clouds,CM,2022-02-12 19:42:17
533,Valparaiso,-33.0393,-71.6273,71.83,62,0,13.8,clear sky,CL,2022-02-12 19:42:17
534,Serebryansk,49.6925,83.2892,20.75,97,100,6.29,overcast clouds,KZ,2022-02-12 19:42:18
535,Arvika,59.6553,12.5852,36.3,96,100,14.41,overcast clouds,SE,2022-02-12 19:42:18
536,Spartanburg,34.9496,-81.9321,72.28,27,0,10.36,clear sky,US,2022-02-12 19:42:19
537,Tyup,42.7276,78.3648,22.46,89,100,4.54,overcast clouds,KG,2022-02-12 19:42:19
538,Gribanovskiy,51.4579,41.9764,25.88,93,92,11.27,overcast clouds,RU,2022-02-12 19:42:19
539,Saint-Augustin,51.226,-58.6502,33.06,98,100,18.63,light snow,CA,2022-02-12 19:42:20
540,Mitu,1.1983,-70.1733,81.28,83,100,3.11,moderate rain,CO,2022-02-12 19:42:20
541,Kabale,-1.2486,29.9899,58.71,85,100,2.64,overcast clouds,UG,2022-02-12 19:42:21
542,Maksatikha,57.797,35.8825,26.91,92,98,12.1,overcast clouds,RU,2022-02-12 19:42:21
543,Albertville,34.2676,-86.2089,64.85,47,0,11.5,clear sky,US,2022-02-12 19:40:22
544,Aswan,24.0934,32.907,70.9,26,0,9.22,clear sky,EG,2022-02-12 19:42:22
545,Blind River,46.1834,-82.9582,-0.29,59,9,6.67,clear sky,CA,2022-02-12 19:42:22
546,Itarema,-2.9248,-39.9167,82.18,70,98,11.7,overcast clouds,BR,2022-02-12 19:42:23
547,Taywarah,33.35,64.4167,21.67,51,79,3.4,broken clouds,AF,2022-02-12 19:42:23
548,Ponnampet,12.15,75.9333,63.73,70,4,2.77,clear sky,IN,2022-02-12 19:42:24
549,Oksbol,55.6268,8.2876,39.9,81,100,31.09,overcast clouds,DK,2022-02-12 19:42:24
550,Muncie,40.1934,-85.3864,25.5,76,100,11.5,overcast clouds,US,2022-02-12 19:42:25
551,Nebolchi,59.1239,33.3454,30.78,96,100,13.35,light snow,RU,2022-02-12 19:42:25
552,Maarianhamina,60.0973,19.9348,35.46,80,20,9.22,few clouds,AX,2022-02-12 19:42:26
553,Barcelos,41.5388,-8.6151,53.85,92,39,1.74,scattered clouds,PT,2022-02-12 19:41:06
554,Vagamo,61.8751,9.0967,19.65,97,100,3.09,light snow,NO,2022-02-12 19:42:26
555,Sal Rei,16.1833,-22.9167,75.76,60,100,17.27,overcast clouds,CV,2022-02-12 19:42:27
556,Tabuk,17.4189,121.4443,68.67,93,81,3.69,broken clouds,PH,2022-02-12 19:43:27
557,Mocajuba,-2.5842,-49.5072,83.12,73,98,2.62,overcast clouds,BR,2022-02-12 19:43:28
558,Awjilah,29.1081,21.2869,56.35,42,0,6.96,clear sky,LY,2022-02-12 19:43:28
559,Lumeje,-11.55,20.7833,67.69,82,100,2.66,overcast clouds,AO,2022-02-12 19:43:28
560,Alta Floresta,-9.8756,-56.0861,80.42,78,75,2.3,light rain,BR,2022-02-12 19:43:29
561,Rabo De Peixe,37.8,-25.5833,61.29,79,75,12.66,broken clouds,PT,2022-02-12 19:43:29
562,Koutiala,12.3917,-5.4642,80.31,10,49,8.32,scattered clouds,ML,2022-02-12 19:43:30
563,Altay,47.8667,88.1167,9.75,76,100,4.63,overcast clouds,CN,2022-02-12 19:43:30
564,Karla,59.3723,24.9275,36.57,80,100,23.02,overcast clouds,EE,2022-02-12 19:43:31
565,Nampula,-15.1165,39.2666,76.95,88,75,6.91,broken clouds,MZ,2022-02-12 19:43:31
